latitude,longitude,bright_ti4,acq_date,frp,country
34.67508,70.71088,301.61,2024-12-19,1.09,Afghanistan
35.22846,71.31404,299.07,2024-11-05,1.0,Afghanistan
33.60174,70.14084,367.0,2024-02-14,15.04,Afghanistan
32.39049,64.86921,306.99,2024-06-10,0.95,Afghanistan
35.21645,71.29823,300.79,2024-06-03,3.07,Afghanistan
35.96752,68.68677,299.5,2024-05-28,0.53,Afghanistan
35.96855,68.68705,308.43,2024-05-06,0.89,Afghanistan
33.47438,69.77938,301.62,2024-12-27,1.33,Afghanistan
37.38413,66.99144,337.51,2024-03-25,26.47,Afghanistan
33.68335,70.0667,299.06,2024-02-20,0.87,Afghanistan
32.50995,62.23279,344.11,2024-06-17,5.16,Afghanistan
35.04191,70.24203,323.99,2024-05-28,3.6,Afghanistan
34.58373,71.05328,330.37,2024-10-02,2.58,Afghanistan
37.45534,69.38779,338.56,2024-09-07,19.74,Afghanistan
33.57873,70.15621,302.47,2024-03-18,0.78,Afghanistan
34.56334,71.01016,301.6,2024-09-30,0.36,Afghanistan
33.6084,67.74044,341.05,2024-09-14,14.33,Afghanistan
36.68777,68.98946,333.85,2024-06-14,2.52,Afghanistan
33.13288,69.99179,306.48,2024-06-01,1.31,Afghanistan
33.71495,70.09613,334.53,2024-03-19,2.11,Afghanistan
37.45549,69.396,334.98,2024-09-07,19.74,Afghanistan
37.29341,67.11159,345.18,2024-02-06,5.2,Afghanistan
35.21685,71.29404,317.96,2024-06-03,2.49,Afghanistan
37.24115,69.00695,349.11,2024-06-09,5.99,Afghanistan
35.05565,71.42071,295.28,2024-01-06,1.63,Afghanistan
33.08151,69.65504,300.19,2024-03-15,4.03,Afghanistan
34.54656,69.23526,332.69,2024-05-07,3.16,Afghanistan
33.5629,70.08681,301.23,2024-01-02,1.7,Afghanistan
34.56353,71.02906,299.7,2024-09-30,0.27,Afghanistan
35.63969,65.12068,305.81,2024-08-06,1.05,Afghanistan
35.14914,71.27359,340.41,2024-12-24,5.19,Afghanistan
35.22723,71.2614,295.74,2024-06-01,0.61,Afghanistan
34.2726,62.62538,304.64,2024-08-03,0.46,Afghanistan
32.5932,62.21024,346.03,2024-07-03,12.42,Afghanistan
35.63785,63.75353,310.55,2024-07-08,1.59,Afghanistan
34.1142,65.51265,336.23,2024-09-22,4.61,Afghanistan
33.589,70.16624,335.16,2024-02-13,4.56,Afghanistan
34.91114,64.22465,299.8,2024-08-03,1.32,Afghanistan
35.04058,70.2482,320.81,2024-05-28,1.66,Afghanistan
35.01459,70.99476,302.36,2024-01-01,1.07,Afghanistan
34.66479,70.71886,306.24,2024-12-18,1.1,Afghanistan
36.7565,69.01996,335.98,2024-06-05,2.26,Afghanistan
33.78405,69.65068,339.22,2024-12-30,7.44,Afghanistan
37.45748,69.5888,295.61,2024-10-11,0.32,Afghanistan
33.56137,70.08251,340.31,2024-02-13,3.24,Afghanistan
37.36115,66.81713,331.5,2024-02-16,11.09,Afghanistan
35.96602,68.68784,298.11,2024-04-07,0.31,Afghanistan
35.14622,70.79592,303.0,2024-11-01,0.64,Afghanistan
31.86382,64.69179,330.45,2024-03-15,3.92,Afghanistan
33.59845,70.14938,343.43,2024-01-07,21.62,Afghanistan
37.53592,69.53872,345.38,2024-01-09,5.36,Afghanistan
36.68199,69.06593,338.68,2024-06-03,4.08,Afghanistan
34.55993,71.00934,311.9,2024-09-30,1.15,Afghanistan
37.24156,69.0113,353.45,2024-06-09,5.13,Afghanistan
35.76271,68.51223,311.6,2024-07-11,1.31,Afghanistan
34.43096,69.88728,298.54,2024-09-17,1.43,Afghanistan
34.56136,71.01865,300.44,2024-09-29,1.34,Afghanistan
33.58419,70.15358,331.5,2024-02-14,2.79,Afghanistan
31.68475,61.60982,337.77,2024-09-16,2.67,Afghanistan
35.96526,68.68357,295.04,2024-03-17,1.38,Afghanistan
34.69575,71.10052,308.12,2024-03-17,3.42,Afghanistan
33.53771,70.10713,367.0,2024-03-07,6.44,Afghanistan
35.70611,67.35267,298.04,2024-03-17,0.76,Afghanistan
35.9645,68.68703,304.92,2024-05-13,1.78,Afghanistan
33.60857,70.15682,338.24,2024-02-16,6.3,Afghanistan
35.02505,62.58606,300.57,2024-01-08,0.65,Afghanistan
35.04211,70.23843,326.63,2024-05-28,3.6,Afghanistan
34.54563,69.1455,306.63,2024-08-05,7.39,Afghanistan
34.36571,71.03963,328.17,2024-01-13,3.2,Afghanistan
34.77636,62.59577,304.57,2024-08-08,0.43,Afghanistan
37.06273,69.16369,337.35,2024-03-16,6.04,Afghanistan
34.5659,71.01575,304.97,2024-09-30,0.54,Afghanistan
36.01315,68.60776,338.02,2024-06-08,3.34,Afghanistan
31.61599,65.85668,343.54,2024-07-06,8.06,Afghanistan
37.26745,67.13504,344.48,2024-02-06,20.77,Afghanistan
34.54536,69.27953,338.39,2024-06-24,6.31,Afghanistan
35.26317,70.81384,303.57,2024-05-28,2.1,Afghanistan
34.40149,68.86228,332.25,2024-09-22,4.67,Afghanistan
34.84507,70.85269,299.33,2024-01-14,1.26,Afghanistan
35.01244,70.99695,307.98,2024-01-02,1.4,Afghanistan
31.50881,64.2082,297.45,2024-09-06,0.13,Afghanistan
37.16715,68.5387,303.66,2024-02-07,1.23,Afghanistan
32.59188,62.23722,341.25,2024-07-15,2.18,Afghanistan
36.67055,69.06848,336.99,2024-06-06,1.89,Afghanistan
35.24307,71.2251,334.27,2024-01-06,4.35,Afghanistan
33.61021,70.17076,329.58,2024-03-12,5.45,Afghanistan
35.17739,71.57938,337.31,2024-01-23,5.33,Afghanistan
35.99196,68.5871,350.98,2024-06-09,4.71,Afghanistan
33.61237,67.73985,342.29,2024-09-14,14.33,Afghanistan
33.54035,70.08003,309.92,2024-06-24,3.11,Afghanistan
35.96606,68.68575,303.28,2024-05-12,1.16,Afghanistan
33.67212,70.08176,296.46,2024-02-13,1.53,Afghanistan
35.14794,71.27546,321.81,2024-12-24,3.42,Afghanistan
33.86644,64.26037,352.66,2024-08-27,7.43,Afghanistan
33.68404,70.09875,299.62,2024-02-13,1.01,Afghanistan
35.00075,71.13786,303.44,2024-05-27,1.25,Afghanistan
32.77755,65.92812,308.65,2024-06-20,0.97,Afghanistan
35.96677,68.68606,305.82,2024-03-18,1.27,Afghanistan
33.70415,70.07593,330.1,2024-03-16,2.9,Afghanistan
36.65078,69.01633,338.61,2024-06-14,3.28,Afghanistan
33.68412,70.09731,339.49,2024-01-05,1.85,Afghanistan
37.2715,67.1386,342.18,2024-02-06,22.29,Afghanistan
31.61555,65.85494,348.51,2024-06-10,8.95,Afghanistan
36.37626,69.32727,302.21,2024-07-01,0.56,Afghanistan
33.61445,70.03014,337.44,2024-03-12,2.74,Afghanistan
37.36518,66.56041,356.05,2024-03-19,3.82,Afghanistan
35.97022,68.68505,304.04,2024-06-12,1.21,Afghanistan
33.53747,70.104,332.05,2024-03-07,3.73,Afghanistan
33.19713,70.10325,329.07,2024-01-25,6.61,Afghanistan
30.56712,63.66215,300.98,2024-03-17,0.6,Afghanistan
37.20399,67.31706,342.04,2024-03-24,18.53,Afghanistan
33.5885,69.97773,325.55,2024-02-21,2.61,Afghanistan
33.57643,70.13731,336.05,2024-02-12,5.7,Afghanistan
36.40871,66.91949,300.01,2024-06-12,0.7,Afghanistan
33.58559,70.14629,339.32,2024-03-14,2.0,Afghanistan
34.5715,71.03532,309.15,2024-10-01,2.27,Afghanistan
37.23538,68.98106,342.57,2024-06-08,3.84,Afghanistan
34.75914,69.27277,340.4,2024-07-08,9.01,Afghanistan
37.24319,68.97561,340.23,2024-06-03,4.36,Afghanistan
37.14947,68.99661,331.22,2024-06-09,1.85,Afghanistan
35.12543,70.87403,302.32,2024-05-28,0.77,Afghanistan
35.96807,68.68656,310.17,2024-05-06,0.98,Afghanistan
33.19347,70.10264,300.46,2024-01-02,1.25,Afghanistan
34.91672,70.90502,299.04,2024-11-04,0.76,Afghanistan
33.6785,70.08091,299.86,2024-02-12,2.26,Afghanistan
35.96952,68.68333,303.32,2024-08-26,0.87,Afghanistan
30.56775,63.66471,295.01,2024-03-23,0.44,Afghanistan
33.61782,70.01627,323.08,2024-01-05,2.4,Afghanistan
35.96767,68.68767,308.85,2024-09-20,1.47,Afghanistan
35.23167,71.31302,301.24,2024-11-03,0.61,Afghanistan
33.61633,67.73927,346.61,2024-09-14,58.83,Afghanistan
37.36455,66.55606,333.56,2024-03-19,3.82,Afghanistan
33.40309,69.9768,333.18,2024-11-02,2.28,Afghanistan
33.53662,70.08059,307.78,2024-06-24,2.9,Afghanistan
37.35284,69.38682,349.97,2024-03-25,5.37,Afghanistan
36.6794,69.05747,340.42,2024-06-06,3.74,Afghanistan
33.31679,70.28168,328.11,2024-12-16,1.95,Afghanistan
37.04043,69.18365,334.34,2024-07-16,1.62,Afghanistan
33.6203,67.73869,345.8,2024-09-14,58.83,Afghanistan
34.57404,69.27734,343.18,2024-06-22,9.2,Afghanistan
29.43189,64.00971,297.91,2024-09-14,0.78,Afghanistan
34.26902,62.62234,300.93,2024-08-03,0.78,Afghanistan
34.78895,70.8119,331.29,2024-04-06,3.58,Afghanistan
35.32005,71.44906,307.25,2024-07-08,1.25,Afghanistan
33.6974,70.08533,295.81,2024-02-23,0.35,Afghanistan
36.70298,65.96107,298.22,2024-09-19,0.76,Afghanistan
35.96851,68.68468,298.07,2024-10-21,0.67,Afghanistan
37.24232,69.0113,342.67,2024-06-09,5.99,Afghanistan
34.81894,70.89182,296.0,2024-11-25,0.64,Afghanistan
34.79842,70.69617,313.52,2024-10-03,1.4,Afghanistan
35.176,71.57803,331.23,2024-01-23,2.42,Afghanistan
33.62241,69.97814,327.66,2024-12-31,3.29,Afghanistan
36.68279,68.99141,332.45,2024-06-14,1.15,Afghanistan
34.57621,71.05238,344.76,2024-10-02,11.38,Afghanistan
30.16958,66.03833,344.26,2024-10-10,6.41,Afghanistan
37.27914,67.11836,344.57,2024-02-09,18.05,Afghanistan
37.35187,66.6356,342.4,2024-04-02,4.09,Afghanistan
33.42999,69.94604,341.17,2024-11-27,4.96,Afghanistan
35.96582,68.68363,299.47,2024-03-22,1.09,Afghanistan
36.67008,68.99329,344.14,2024-06-09,3.42,Afghanistan
34.66491,70.70877,296.61,2024-12-19,0.44,Afghanistan
32.59148,62.21391,345.69,2024-07-03,17.06,Afghanistan
36.97802,67.86163,299.66,2024-11-03,0.37,Afghanistan
37.17265,69.08991,333.44,2024-06-09,3.36,Afghanistan
35.01398,71.00056,331.43,2024-01-02,7.25,Afghanistan
36.71954,69.03702,342.04,2024-06-06,6.71,Afghanistan
34.15816,63.28698,345.32,2024-07-31,10.56,Afghanistan
35.26522,70.81377,303.13,2024-05-28,1.36,Afghanistan
34.19885,62.35459,338.8,2024-09-17,4.0,Afghanistan
36.64042,68.86604,349.21,2024-06-10,9.53,Afghanistan
33.59735,69.9804,347.42,2024-01-15,8.74,Afghanistan
36.90605,66.22758,302.7,2024-05-25,0.74,Afghanistan
34.06794,70.62206,351.85,2024-02-20,10.09,Afghanistan
37.26818,67.13947,351.65,2024-02-06,22.29,Afghanistan
34.31109,70.63052,337.67,2024-10-31,2.43,Afghanistan
33.58338,70.11133,333.76,2024-02-22,1.45,Afghanistan
33.59888,70.15681,348.53,2024-01-07,10.2,Afghanistan
34.32688,70.65334,331.17,2024-08-27,2.62,Afghanistan
35.01994,70.99906,319.81,2024-01-01,1.96,Afghanistan
35.96625,68.68608,296.87,2024-04-25,1.58,Afghanistan
34.271,62.62636,304.13,2024-08-03,0.88,Afghanistan
37.36383,66.812,346.32,2024-02-16,10.87,Afghanistan
33.78349,69.64539,367.0,2024-12-30,11.45,Afghanistan
30.30745,62.39437,300.8,2024-06-07,0.56,Afghanistan
33.68024,70.04293,308.39,2024-02-13,1.17,Afghanistan
35.96714,68.68757,303.58,2024-06-14,0.5,Afghanistan
30.27193,61.97136,301.65,2024-10-21,0.68,Afghanistan
-26.72401,27.94538,297.45,2024-10-09,1.88,Africa
-24.43995,30.71578,304.3,2024-09-06,0.52,Africa
-27.41391,29.22136,351.86,2024-08-27,54.12,Africa
-28.61476,30.81793,295.76,2024-07-07,0.51,Africa
-26.98533,26.56805,331.28,2024-08-25,13.22,Africa
-27.65937,30.03907,337.98,2024-09-26,5.8,Africa
-31.36739,29.66818,332.27,2024-05-09,3.7,Africa
-33.40642,18.90064,341.23,2024-03-19,5.88,Africa
-30.4589,29.23916,340.73,2024-10-02,5.27,Africa
-26.1115,26.58143,352.6,2024-08-20,6.38,Africa
-25.07677,27.37641,314.52,2024-08-28,1.56,Africa
-30.68406,28.959,331.69,2024-08-27,6.23,Africa
-24.94893,31.3011,331.25,2024-06-11,4.46,Africa
-30.61406,29.26412,329.09,2024-08-01,5.49,Africa
-25.49858,23.15745,318.26,2024-10-17,2.37,Africa
-26.456,27.80228,367.0,2024-06-18,8.67,Africa
-25.36886,29.96589,330.56,2024-07-15,3.65,Africa
-25.22899,29.50615,334.6,2024-07-07,4.34,Africa
-28.89913,29.12771,344.9,2024-08-08,6.22,Africa
-30.36774,30.47537,339.17,2024-08-16,4.58,Africa
-30.98293,29.98935,299.03,2024-07-10,1.49,Africa
-33.32694,25.58593,347.08,2024-08-12,5.88,Africa
-29.35426,31.15179,334.69,2024-08-09,3.05,Africa
-26.51477,27.80986,348.77,2024-05-28,9.92,Africa
-25.70109,28.64737,346.82,2024-09-28,39.13,Africa
-25.1879,30.83648,335.19,2024-04-03,79.24,Africa
-33.90354,24.39284,339.5,2024-02-27,24.57,Africa
-28.51298,30.74854,320.2,2024-08-08,0.96,Africa
-32.53196,27.48944,325.8,2024-08-07,5.07,Africa
-28.00678,30.09309,348.2,2024-12-08,17.93,Africa
-30.67516,30.34644,303.78,2024-04-17,1.16,Africa
-28.40467,27.69239,325.64,2024-06-20,12.72,Africa
-27.6206,27.26341,346.58,2024-07-07,16.68,Africa
-32.32358,27.54453,333.0,2024-07-25,4.09,Africa
-28.67982,32.13154,325.58,2024-12-20,2.1,Africa
-26.70525,27.95019,313.06,2024-06-17,3.25,Africa
-25.66063,27.83767,331.94,2024-10-10,2.26,Africa
-28.65414,30.93042,300.33,2024-08-10,2.51,Africa
-27.63376,31.75912,340.72,2024-07-05,3.48,Africa
-25.57355,27.58131,315.9,2024-08-08,1.9,Africa
-25.03789,30.99967,355.76,2024-08-28,8.45,Africa
-30.43037,29.38951,367.0,2024-10-03,7.01,Africa
-26.05181,29.28659,336.56,2024-01-15,9.69,Africa
-23.69337,28.35543,347.49,2024-10-07,8.47,Africa
-25.18082,29.99741,336.69,2024-07-05,5.11,Africa
-28.61971,30.6104,346.89,2024-08-26,7.03,Africa
-26.09245,30.32707,343.2,2024-11-18,5.27,Africa
-28.5995,30.91725,349.52,2024-08-14,5.81,Africa
-29.27508,30.26462,312.67,2024-07-07,2.18,Africa
-32.65242,18.88335,346.81,2024-04-03,6.52,Africa
-25.41682,29.23532,333.45,2024-12-15,2.8,Africa
-29.89534,30.09391,350.86,2024-07-05,13.05,Africa
-31.97438,25.70736,299.03,2024-05-07,0.47,Africa
-33.90934,25.55041,302.45,2024-05-09,0.43,Africa
-29.68192,29.94727,299.94,2024-08-27,6.66,Africa
-28.73522,28.97968,336.77,2024-08-10,2.89,Africa
-27.07903,32.71724,338.91,2024-08-20,3.05,Africa
-25.40923,27.13737,340.88,2024-07-10,4.4,Africa
-23.71913,30.7799,349.02,2024-04-30,5.97,Africa
-25.75962,28.76785,367.0,2024-10-25,19.63,Africa
-31.27717,29.08115,342.91,2024-08-17,4.45,Africa
-25.16937,31.46155,319.47,2024-08-17,2.03,Africa
-30.51619,26.68723,350.82,2024-08-21,14.54,Africa
-29.18623,31.08976,330.48,2024-07-12,2.1,Africa
-27.35401,26.23178,367.0,2024-08-11,6.52,Africa
-25.65941,27.84319,306.08,2024-11-21,0.82,Africa
-31.29702,28.62556,300.18,2024-07-10,1.15,Africa
-26.06584,29.50233,306.55,2024-07-17,7.01,Africa
-32.26808,26.58097,296.99,2024-08-10,0.8,Africa
-32.35814,28.42719,335.71,2024-08-20,4.87,Africa
-26.87176,30.91553,367.0,2024-07-16,42.3,Africa
-24.09877,28.90305,340.72,2024-05-17,5.11,Africa
-29.31499,30.61034,355.17,2024-02-15,15.21,Africa
-30.02395,30.52109,309.46,2024-07-05,1.94,Africa
-26.66831,27.80733,331.36,2024-10-22,2.66,Africa
-23.86575,29.06136,331.39,2024-07-02,2.52,Africa
-26.47036,27.54726,367.0,2024-08-11,12.36,Africa
-30.55787,28.42404,297.61,2024-08-08,0.71,Africa
-26.27612,27.68508,346.51,2024-06-01,3.97,Africa
-26.28439,28.15519,301.02,2024-12-01,2.11,Africa
-24.74005,30.19712,337.75,2024-10-06,3.94,Africa
-24.12999,29.11757,300.99,2024-08-28,2.69,Africa
-25.25703,29.00595,309.47,2024-07-07,0.72,Africa
-27.01639,29.93443,344.68,2024-09-26,7.47,Africa
-32.97058,18.86649,346.15,2024-03-27,10.09,Africa
-25.06344,28.27246,367.0,2024-07-26,16.43,Africa
-24.73994,30.19861,318.74,2024-01-05,3.39,Africa
-32.32933,28.48534,302.36,2024-08-20,1.02,Africa
-33.27984,19.53342,351.64,2024-03-01,22.03,Africa
-23.99783,27.97921,350.98,2024-09-30,14.94,Africa
-27.72595,32.55179,353.74,2024-08-15,14.9,Africa
-25.46164,30.73607,367.0,2024-06-19,21.18,Africa
-26.33425,27.42282,343.17,2024-03-17,8.73,Africa
-26.04729,29.48777,339.95,2024-07-27,5.66,Africa
-30.47181,30.15327,296.39,2024-07-07,0.36,Africa
-24.13143,30.24229,333.46,2024-07-17,5.07,Africa
-24.83679,27.36675,335.86,2024-05-04,3.88,Africa
-26.67353,30.73365,321.61,2024-07-08,1.78,Africa
-28.31559,31.06942,356.0,2024-09-05,12.23,Africa
-26.24443,28.49516,342.79,2024-07-04,8.08,Africa
-31.02706,29.8122,311.11,2024-09-24,1.08,Africa
-33.05019,19.06522,367.0,2024-04-29,43.83,Africa
-27.70111,29.68577,321.23,2024-09-26,2.97,Africa
-28.12428,31.9359,300.3,2024-07-03,0.65,Africa
-32.28561,26.87739,353.55,2024-08-27,3.17,Africa
-24.73987,30.19736,303.18,2024-03-11,0.96,Africa
-30.82103,28.50681,297.87,2024-06-24,1.45,Africa
-25.26056,29.50784,347.4,2024-09-07,8.13,Africa
-25.50979,27.92856,342.62,2024-08-21,3.9,Africa
-25.06001,29.63561,304.83,2024-08-03,0.99,Africa
-31.96732,27.99884,345.94,2024-08-26,12.06,Africa
-31.00119,29.62148,297.64,2024-08-16,0.54,Africa
-28.97582,29.76132,314.4,2024-07-14,1.88,Africa
-26.54757,29.14499,310.54,2024-10-25,3.85,Africa
-26.16243,29.81441,344.17,2024-09-28,7.46,Africa
-31.7218,28.05164,311.69,2024-08-27,2.05,Africa
-32.32248,27.49019,328.36,2024-09-25,5.88,Africa
-33.19432,19.60053,320.15,2024-02-05,4.67,Africa
-27.87988,29.74223,298.32,2024-08-11,1.32,Africa
-25.3031,28.89319,301.94,2024-10-18,2.12,Africa
-27.28713,28.854,335.46,2024-04-24,7.06,Africa
-28.60861,30.27813,332.51,2024-07-07,3.06,Africa
-26.32465,30.53319,332.18,2024-06-19,16.62,Africa
-30.46408,29.426,367.0,2024-07-16,16.62,Africa
-25.711,27.40236,331.21,2024-01-24,4.46,Africa
-29.4801,30.63717,342.12,2024-07-03,7.22,Africa
-24.10738,27.62065,295.86,2024-07-27,1.32,Africa
-24.04859,29.35464,318.91,2024-10-05,1.65,Africa
-30.67418,30.34406,319.58,2024-05-21,1.51,Africa
-26.94572,30.44835,312.5,2024-07-13,1.06,Africa
-30.14099,28.61245,346.24,2024-08-09,6.25,Africa
-26.55138,29.15443,303.95,2024-01-05,3.49,Africa
-26.32067,29.23697,298.12,2024-07-27,0.54,Africa
-28.69394,30.99056,298.46,2024-08-26,1.14,Africa
-26.72733,27.94467,297.74,2024-07-29,2.07,Africa
-33.68418,22.94182,333.95,2024-12-25,18.84,Africa
-30.96992,27.1958,343.72,2024-10-03,9.36,Africa
-31.69267,28.01021,327.38,2024-07-23,3.21,Africa
-30.56648,30.31621,336.22,2024-07-06,3.07,Africa
-28.89164,19.56576,355.61,2024-01-17,3.02,Africa
-22.79749,31.29196,346.07,2024-08-28,8.94,Africa
-28.73905,24.69414,343.05,2024-12-13,12.4,Africa
-27.93001,30.58762,305.07,2024-08-27,1.06,Africa
-32.43779,26.80614,332.46,2024-08-20,4.64,Africa
-32.25848,28.51714,337.05,2024-07-18,2.59,Africa
